,name,wcont,latitude,longitude,subpop,densityB,densityK,densityC,reference,fishingB,fishingK,fishingC
1,Shompen,EURASIA,7,93.77,n,39.536999999999999,NA,39.537,Binford 2001,35,NA,35
2,Onge,EURASIA,10.7,92.47,n,40.100000000000001,86,63.05,"Binford 2001, Kelly 2013",45,40,42.5
3,Jarwa,EURASIA,11.81,92.64,n,44.649999999999999,NA,44.65,Binford 2001,30,NA,30
4,Andamanese_North,EURASIA,13.32,92.89,n,33.380000000000003,NA,33.38,Binford 2001,5,NA,5
5,Ainu_(Hokkaido),EURASIA,44.01,144.17,n,34.799999999999997,NA,34.8,"Binford 2001, Kelly 2013",75,40,57.5
6,Ket_(Yenisei-Ostyak),EURASIA,62,90,n,1.6399999999999999,NA,1.64,Binford 2001,50,NA,50
7,Gilyak,EURASIA,51.54,140,n,19.309999999999999,19.199999999999999,19.255,"Binford 2001, Kelly 2013",85,50,67.5
8,Yukaghir,EURASIA,70,145,n,0.60999999999999999,0.5,0.555,"Binford 2001, Kelly 2013",40,40,40
9,Nganasan,EURASIA,73.83,90,n,0.46000000000000002,NA,0.46,Binford 2001,44,NA,44
10,Siberian_Eskimo,EURASIA,65.96,170.08,n,4.7000000000000002,NA,4.7,Binford 2001,69,NA,69
11,Paraujano,SOAM,9.9,-72.41,n,35,NA,35,Binford 2001,60,NA,60
12,Akuriyo,SOAM,3,-55,n,7.04,NA,7.04,Binford 2001,5,NA,5
13,Nukak (Macu),SOAM,2.56,-71.81,n,9.3399999999999999,NA,9.34,"Binford 2001, Kelly 2013",13,13,13
14,Calusa,NOAM,26.5,-82,n,38.729999999999997,NA,38.73,Binford 2001,65,NA,65
15,Heta,SOAM,-23.52,-53.68,n,9.5999999999999996,NA,9.6,Binford 2001,10,NA,10
16,Tehuelche,SOAM,-46,-68.7,n,1.8899999999999999,NA,1.89,Binford 2001,5,NA,5
17,Chono,SOAM,-45,-73.83,n,13.640000000000001,NA,13.64,Binford 2001,75,NA,75
18,Alacaluf,SOAM,-49.55,-74.52,n,14.98,NA,14.98,"Binford 2001, Kelly 2013",75,70,72.5
19,Ona-(Selknam),SOAM,-53.9,-68.62,n,7.2699999999999996,NA,7.27,"Binford 2001, Kelly 2013",20,20,20
20,Yaghan,SOAM,-54.76,-69.94,n,28.420000000000002,4.7999999999999998,16.61,"Binford 2001, Kelly 2013",70,NA,70
21,Hukwe,AFR,-16.93,24.32,n,2.8999999999999999,NA,2.9,Binford 2001,5,NA,5
22,Hadza_(Kindiga),AFR,-3.82,35.32,n,24,19.5,21.75,"Binford 2001, Kelly 2013",0,0,0
23,!Kung-Nyae_Nyae_&_Dobe,AFR,-20,21.18,n,6.5999999999999996,13,9.8,"Binford 2001, Kelly 2013",0,NA,0
24,Gwi,AFR,-22.46,23.39,n,2.9300000000000002,8,5.465,"Binford 2001, Kelly 2013",0,0,0
25,!Ko,AFR,-23.86,22.2,n,1.03,NA,1.03,Binford 2001,0,NA,0
26,Auni-Khomani,AFR,-27.37,19.82,n,0.64000000000000001,NA,0.64,Binford 2001,0,NA,0
27,Xam,AFR,-31.47,19.77,n,2.4300000000000002,NA,2.43,Binford 2001,0,NA,0
28,Larikia-No-Territory,AUS,-12.6,130.78,n,40,NA,40,Binford 2001,65,NA,65
